Arf,Mécontant
Aie,Douleur
Argh,Étranglement
Arghl,Étranglement
Argn,Colère
Atchoum,Éternuement
Beuh,Dégout
Berk,Dégout
Beurk ,Vomir
Boum,Explosion
Blabla,Discussion
Blablabla,Discussion
Bof,Désintéressement
Bouh,Surprise
Beuh,Dégout
Clap ,Applaudir
Euh,Hésitation
Grrr,Grognement
Grumph,Grognement
Han,Exclamation
Ho,Étonnement
Hey,Appel
Hourra,Accalamation
Houra,Accalamation
Humpf,Étouffement
Hum ,Réflexion
Miam,Régal 
Ouf,Soulagement
Ouin,Pleures
Ouille,Douleur
Paf,Frappe
Patati,Discussion
Patata,Discussion
Pfff,Fatigue
Pfiou,Soulagement
Plouf,Plonge
Pouah,Dégout
Puahh,Dégout
Pouf,Fumé
Raaah,Râle
Snif,Pleures
Splash,Éclaboussoure
Waouh,Admiration
Youpi,Joie
Yéh,Joie
Zzz,Ronflement
